# i j k l k n phi0deg (k=0 used to derive 1-4 scaling only)
1 2 5 6 0.0 1 180.0
1 2 5 7 0.0 1 180.0
2 5 7 8 0.0 1 180.0
2 5 7 9 0.0 1 180.0
3 2 5 6 0.0 1 180.0
3 2 5 7 0.0 1 180.0
4 2 5 6 0.0 1 180.0
4 2 5 7 0.0 1 180.0
5 7 9 10 0.0 1 180.0
5 7 9 11 0.0 1 180.0
5 7 9 15 0.0 1 180.0
6 5 7 8 0.0 1 180.0
6 5 7 9 0.0 1 180.0
7 9 11 12 0.0 1 180.0
7 9 11 13 0.0 1 180.0
7 9 11 14 0.0 1 180.0
7 9 15 16 0.0 1 180.0
7 9 15 17 0.0 1 180.0
8 7 9 10 0.0 1 180.0
8 7 9 11 0.0 1 180.0
8 7 9 15 0.0 1 180.0
9 15 17 18 0.0 1 180.0
9 15 17 19 0.0 1 180.0
10 9 11 12 0.0 1 180.0
10 9 11 13 0.0 1 180.0
10 9 11 14 0.0 1 180.0
10 9 15 16 0.0 1 180.0
10 9 15 17 0.0 1 180.0
11 9 15 16 0.0 1 180.0
11 9 15 17 0.0 1 180.0
12 11 9 15 0.0 1 180.0
13 11 9 15 0.0 1 180.0
14 11 9 15 0.0 1 180.0
15 17 19 20 0.0 1 180.0
15 17 19 21 0.0 1 180.0
15 17 19 22 0.0 1 180.0
16 15 17 18 0.0 1 180.0
16 15 17 19 0.0 1 180.0
18 17 19 20 0.0 1 180.0
18 17 19 21 0.0 1 180.0
18 17 19 22 0.0 1 180.0
